Pickup_Date,Passenger Count,No of Trips,Day of Week
01-01-2019,319678,189035,Tuesday
02-01-2019,317395,197852,Wednesday
03-01-2019,350961,222879,Thursday
04-01-2019,373023,235053,Friday
05-01-2019,390129,236041,Saturday
06-01-2019,339398,208194,Sunday
07-01-2019,350154,227762,Monday
08-01-2019,362405,236155,Tuesday
09-01-2019,389522,254671,Wednesday
10-01-2019,431261,280648,Thursday
11-01-2019,452201,290607,Friday
12-01-2019,430457,264567,Saturday
13-01-2019,365625,226924,Sunday
14-01-2019,375262,244102,Monday
15-01-2019,406967,266135,Tuesday
16-01-2019,415152,271419,Wednesday
17-01-2019,431889,283409,Thursday
18-01-2019,412988,265782,Friday
19-01-2019,385474,235790,Saturday
20-01-2019,331629,202739,Sunday
21-01-2019,303400,192370,Monday
22-01-2019,387177,253977,Tuesday
23-01-2019,397788,259948,Wednesday
24-01-2019,430668,280805,Thursday
25-01-2019,453201,291288,Friday
26-01-2019,442945,271393,Saturday
27-01-2019,353532,219762,Sunday
28-01-2019,365053,239921,Monday
29-01-2019,394685,258533,Tuesday
30-01-2019,422170,275770,Wednesday
31-01-2019,432825,283724,Thursday
01-02-2019,461875,298036,Friday
02-02-2019,432807,266646,Saturday
03-02-2019,356365,220654,Sunday
04-02-2019,357692,232604,Monday
05-02-2019,388430,252309,Tuesday
06-02-2019,427051,277014,Wednesday
07-02-2019,424144,274904,Thursday
08-02-2019,450042,288265,Friday
09-02-2019,454381,276436,Saturday
10-02-2019,358042,221064,Sunday
11-02-2019,360111,235425,Monday
12-02-2019,367799,237109,Tuesday
13-02-2019,410920,267489,Wednesday
14-02-2019,418021,270850,Thursday
15-02-2019,400863,256064,Friday
16-02-2019,394364,239894,Saturday
17-02-2019,348936,211913,Sunday
18-02-2019,306995,192891,Monday
19-02-2019,363337,234546,Tuesday
20-02-2019,374182,240786,Wednesday
21-02-2019,391150,252298,Thursday
22-02-2019,414323,263286,Friday
23-02-2019,416137,252834,Saturday
24-02-2019,338960,208292,Sunday
25-02-2019,360294,234088,Monday
26-02-2019,403558,262385,Tuesday
27-02-2019,223217,146938,Wednesday
28-02-2019,3,3,Thursday
01-03-2019,441004,281123,Friday
02-03-2019,412926,251510,Saturday
03-03-2019,359779,221835,Sunday
04-03-2019,322940,208014,Monday
05-03-2019,413247,267813,Tuesday
06-03-2019,440259,285217,Wednesday
07-03-2019,449235,291094,Thursday
08-03-2019,444823,284832,Friday
09-03-2019,448011,271220,Saturday
10-03-2019,371501,228375,Sunday
11-03-2019,363000,235453,Monday
